,611ccab657532350bc9b78ee_int,611ccab657532350bc9b78ee_expint,conversation_id,message_len,5eea650223990c15b6063ea8_int,5eea650223990c15b6063ea8_expint,605f811bc336749dd9dddd1b_int,605f811bc336749dd9dddd1b_expint,doccano_id
127,3,3,030,41,3,2,3,3,35812
128,2,1,030,46,3,2,4,4,35813
129,1,0,131,5,1,2,3,3,35815
130,0,0,131,4,1,1,2,3,35816
131,1,0,131,7,2,2,3,3,35817
132,2,1,131,23,2,2,4,4,35818
133,1,0,131,11,2,2,4,3,35819
134,1,1,131,5,2,2,3,3,35820
135,3,2,131,12,3,2,1,2,35821
136,1,1,131,22,2,2,3,2,35822
137,0,0,131,23,2,2,3,3,35823
138,2,2,131,21,2,2,3,3,35824
139,2,2,131,15,3,2,3,3,35825
140,2,2,131,8,2,2,3,3,35826
141,3,2,131,11,2,2,2,2,35827
142,0,0,131,5,2,2,3,2,35828
143,3,2,131,19,3,2,3,4,35829
144,1,1,131,4,2,2,3,2,35830
145,0,0,131,2,1,2,3,3,35831
146,0,0,131,6,1,2,2,2,35832
147,0,0,131,6,1,2,3,2,35833
148,1,1,131,5,1,1,3,3,35834
149,0,0,131,5,1,2,3,3,35835
150,2,2,131,50,2,2,4,4,35836
151,2,2,131,60,3,2,4,4,35837
152,1,1,131,23,2,2,3,3,35838
153,1,0,131,6,2,2,3,3,35839
154,1,1,131,10,2,2,3,3,35840
155,1,1,131,11,2,2,3,3,35841
156,3,1,131,6,2,2,3,2,35842
157,1,2,131,19,3,2,3,3,35843
158,3,2,131,12,3,2,3,3,35844
159,1,1,131,18,2,2,2,2,35845
160,3,1,131,24,3,2,3,3,35846
161,0,0,131,8,1,2,3,2,35847
162,1,1,131,8,2,2,3,3,35848
163,0,0,131,3,1,2,2,2,35849
164,1,1,131,17,2,2,3,3,35850
165,3,2,131,18,2,2,3,3,35851
166,2,2,131,13,2,2,3,3,35852
167,1,1,131,5,2,2,2,2,35853
168,0,0,131,23,3,2,3,3,35854
169,1,1,131,30,2,2,3,3,35855
170,1,1,131,25,2,2,3,3,35856
171,1,1,131,13,2,2,2,2,35857
172,0,0,131,2,1,1,3,3,35858
173,0,0,131,22,2,2,2,2,35859
174,0,0,131,5,1,1,2,2,35860
175,0,1,131,14,2,2,3,3,35861
176,1,1,131,10,2,1,2,2,35862
177,2,1,131,14,2,2,3,3,35863
178,1,0,131,7,2,2,2,2,35864
179,0,0,131,18,2,2,3,3,35865
180,2,1,131,6,2,2,3,3,35866
181,3,0,131,119,2,2,4,4,35867
182,1,0,131,35,2,2,3,3,35868
183,1,0,131,7,2,2,3,3,35869
184,1,1,131,12,2,2,2,2,35870
185,1,1,131,17,2,1,3,3,35871
186,2,1,131,14,2,2,2,2,35872
187,2,0,131,29,2,2,3,3,35873
188,1,1,131,11,2,2,3,3,35874
189,2,1,131,19,1,2,2,2,35875
190,1,1,131,17,1,1,4,4,35876
191,1,1,131,9,1,1,3,3,35877
192,0,0,131,3,1,0,4,4,35878
193,0,0,036,2,1,1,3,3,35880
194,0,0,036,1,1,1,4,4,35881
195,2,0,036,5,2,2,2,2,35882
196,1,0,036,10,2,2,3,3,35883
197,2,0,036,4,1,1,2,2,35884
198,2,1,036,32,2,2,3,3,35885
199,0,0,036,2,1,1,2,2,35886
200,0,0,036,2,1,2,2,2,35887
201,2,1,036,12,2,2,3,3,35888
202,1,2,036,28,3,2,4,4,35889
203,1,1,036,6,1,2,3,3,35890
204,2,0,036,10,2,2,2,2,35891
205,0,0,036,2,1,1,2,2,35892
206,2,0,036,10,3,2,3,3,35893
207,2,1,036,18,2,2,3,3,35894
208,0,0,036,1,1,1,1,1,35895
209,0,0,036,2,1,1,1,1,35896
210,2,0,036,7,3,2,0,0,35897
211,2,0,036,8,3,2,1,1,35898
212,1,0,036,3,2,2,3,3,35899
213,2,1,036,6,2,2,3,3,35900
214,1,0,036,1,0,1,1,0,35901
215,1,0,036,2,1,1,1,1,35902
216,1,0,036,9,2,2,3,3,35903
217,2,0,036,6,1,1,2,2,35904
218,1,0,036,6,1,1,2,2,35905
219,2,1,036,18,2,2,3,3,35906
220,1,0,036,4,1,2,1,1,35907
221,2,0,036,27,2,2,2,2,35908
222,0,0,036,1,2,3,1,1,35909
223,2,0,036,43,2,1,4,3,35910
224,2,0,036,12,2,2,2,2,35911
225,1,0,036,6,1,2,3,3,35912
226,2,0,036,5,2,2,2,2,35913
227,1,0,036,9,2,2,3,3,35914
228,2,0,036,9,2,2,3,3,35915
229,1,0,036,2,2,2,2,2,35916
230,1,0,036,10,2,2,3,3,35917
231,3,1,036,40,2,2,4,4,35918
232,2,0,036,14,2,2,2,2,35919
233,3,1,036,10,2,2,2,2,35920
234,1,0,036,2,1,2,2,2,35921
235,2,0,036,14,2,2,2,2,35922
236,2,0,036,12,2,2,2,2,35923
237,3,1,036,34,2,1,3,3,35924
238,1,0,036,5,1,0,3,2,35925
239,2,0,127,7,1,1,4,4,35927
240,3,2,127,39,2,2,4,4,35928
241,2,3,127,12,2,2,4,4,35929
242,3,2,127,23,2,2,4,3,35930
243,3,2,127,14,1,1,3,3,35931
244,1,0,127,6,1,1,2,2,35932
245,3,1,127,14,2,1,3,3,35933
246,2,1,127,26,2,2,3,3,35934
247,4,2,127,28,2,1,3,3,35935
248,3,2,127,13,2,2,2,2,35936
249,2,1,127,15,2,2,3,3,35937
250,2,1,127,16,1,1,2,2,35938
251,2,2,127,50,3,2,3,3,35939
252,2,2,127,45,3,2,3,3,35940
253,1,1,127,14,2,2,3,3,35941
254,1,1,127,14,1,1,3,3,35942
255,2,1,127,52,2,1,3,3,35943
256,1,1,127,54,2,2,4,4,35944
257,2,1,127,80,2,2,4,3,35945
258,1,0,127,39,1,1,4,3,35946
259,1,0,127,12,2,1,2,2,35947
260,1,0,127,7,1,1,1,2,35948
261,1,1,127,18,2,2,2,2,35949
262,1,0,127,56,3,2,3,3,35950
263,0,0,127,2,1,1,2,2,35951
264,1,1,127,50,2,2,3,3,35952
265,1,1,127,25,2,1,3,3,35953
266,1,0,127,18,2,1,3,3,35954
267,0,0,127,23,1,1,3,3,35955
268,0,0,127,7,1,1,2,2,35956
269,1,1,127,20,1,1,3,3,35957
270,0,1,127,18,2,1,2,2,35958
271,2,1,127,79,2,2,4,4,35959
272,0,0,127,21,2,1,3,3,35960
273,2,1,127,22,2,1,3,2,35961
274,2,1,127,55,2,1,3,3,35962
275,1,1,127,28,1,1,3,3,35963
276,3,1,127,45,2,1,3,3,35964
277,3,1,127,49,2,1,3,3,35965
278,0,0,127,3,1,1,2,2,35966
279,3,1,127,26,1,1,4,4,35967
280,2,1,127,26,2,0,4,3,35968
281,0,0,127,13,1,1,4,4,35969
282,0,0,127,1,0,0,4,4,35970
